2,0.17,0.73,0.0,0.03,0.05,0.0
6,0.1,0.02,0.0,0.47,0.0,0.38
5,0.56,0.0,0.0,0.0,0.43,0.0
4,0.08,0.04,0.0,0.75,0.12,0.0
1,0.55,0.0,0.04,0.0,0.38,0.0
6,0.1,0.0,0.0,0.32,0.04,0.51
4,0.09,0.02,0.0,0.58,0.29,0.0
4,0.1,0.02,0.0,0.59,0.28,0.0
1,0.25,0.0,0.36,0.04,0.32,0.0
4,0.15,0.0,0.0,0.5,0.32,0.0
5,0.33,0.0,0.0,0.0,0.66,0.0
4,0.24,0.02,0.0,0.45,0.28,0.0
4,0.18,0.01,0.0,0.55,0.24,0.0
6,0.04,0.0,0.0,0.32,0.07,0.54
2,0.17,0.8,0.0,0.0,0.01,0.0
6,0.03,0.04,0.0,0.42,0.01,0.48
1,0.75,0.0,0.0,0.01,0.22,0.0
3,0.61,0.0,0.08,0.07,0.22,0.0
1,0.29,0.0,0.39,0.0,0.29,0.0
3,0.67,0.0,0.0,0.03,0.28,0.0
4,0.24,0.02,0.0,0.44,0.28,0.0
4,0.16,0.0,0.0,0.51,0.3,0.0
3,0.64,0.0,0.0,0.05,0.29,0.0
5,0.53,0.0,0.0,0.0,0.46,0.0
6,0.03,0.05,0.0,0.34,0.0,0.56
2,0.12,0.41,0.0,0.02,0.43,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0
1,0.3,0.0,0.25,0.01,0.4,0.01
3,0.52,0.0,0.03,0.06,0.37,0.0
3,0.22,0.0,0.04,0.03,0.69,0.0
6,0.02,0.0,0.0,0.31,0.06,0.58
3,0.52,0.0,0.07,0.08,0.31,0.0
2,0.27,0.36,0.0,0.22,0.14,0.0
3,0.53,0.0,0.08,0.08,0.3,0.0
3,0.64,0.0,0.0,0.08,0.27,0.0
1,0.38,0.0,0.34,0.01,0.25,0.0
6,0.04,0.06,0.0,0.49,0.03,0.35
2,0.14,0.83,0.0,0.0,0.01,0.0
4,0.18,0.01,0.0,0.55,0.24,0.0
4,0.08,0.0,0.0,0.79,0.11,0.0
1,0.29,0.0,0.37,0.0,0.31,0.0
3,0.29,0.0,0.03,0.03,0.63,0.0
6,0.02,0.0,0.0,0.3,0.07,0.59
